Season,Overtakes,Overtakes on TV,No. of Races,Average,Average on TV,Median,Median on TV
1984,781,113,16,48.8,7.1,50,5.5
1985,742,102,16,46.4,6.4,48,6
1986,658,107,16,41.1,6.7,35,6
1987,592,97,16,37.0,6.1,37,5
1988,531,108,16,33.2,6.8,34,6.5
1989,567,88,16,35.4,5.5,33,5
1990,544,109,16,34.0,6.8,32,6
1991,518,92,16,32.4,5.8,31,6.5
1992,426,73,16,26.6,4.6,22,2
1993,434,92,16,27.1,5.8,28,6
1994,287,44,16,17.9,2.8,15.5,2.5
1995,345,59,17,20.3,3.5,19,3
1996,212,53,16,13.3,3.3,10.5,3
1997,334,95,17,19.6,5.6,16,4
1998,217,57,16,13.6,3.6,11.5,3
1999,298,104,16,18.6,6.5,16,5.5
2000,350,118,17,20.6,6.9,19,7
2001,277,89,17,16.3,5.2,12,4
2002,274,78,17,16.1,4.6,16,4
2003,357,146,16,22.3,9.1,16.5,6.5
2004,375,145,18,20.8,8.1,19,9.5
2005,246,101,19,12.9,5.3,11,5
2006,345,154,18,19.2,8.6,14.5,5.5
2007,376,183,17,22.1,10.8,15,6
2008,366,239,18,20.3,13.3,15,11.5
2009,301,183,17,17.7,10.8,11,9
2010,615,313,19,32.4,16.5,27,15
2011,1249,501,19,65.7,26.4,55,25
2012,1229,581,20,61.5,29.1,58.5,27.5
2013,1029,534,19,54.2,28.1,55,29
2014,871,450,19,45.8,23.7,43,22
2015,629,405,19,33.1,21.3,32,19
2016,1097,565,21,52.2,26.9,49,25
2017,509,314,20,25.5,15.7,29.5,18
2018,749,437,21,35.7,20.8,33,19
2019,949,447,21,45.2,21.3,45,20
2020,628,388,17,36.9,22.8,34,23
2021,807,417,22,36.7,19.0,31,16.5
2022,994,550,22,45.2,25.0,34.5,21.5